ANIO,MES,NSELV,UBIGEO,Parentesco_con_jefe_hogar,sexo,edad,idioma_ninez,nivel_educativo,centro_estudios_E_P
2019,6,67,240101,5,1,11,,3,1
2019,6,67,240101,5,1,7,,2,1
2019,6,67,240101,5,2,4,,2,1
2019,6,87,240101,1,1,52,,8,
2019,6,87,240101,2,2,49,,9,
2019,6,87,240101,3,2,23,,10,2
2019,6,109,240101,1,2,74,,3,
2020,2,19,240101,1,1,68,4,9,
2020,2,19,240101,2,2,59,4,6,
2020,2,19,240101,3,1,33,4,9,
2020,2,96,240101,1,1,44,4,6,
2020,2,96,240101,2,2,42,4,9,
2020,2,96,240101,3,1,13,4,5,1
2020,2,96,240101,3,2,6,4,2,1
2020,2,96,240101,6,1,82,4,3,
2020,2,126,240101,1,1,56,4,6,
2020,2,126,240101,3,2,32,4,6,
2020,2,126,240101,4,1,32,4,9,
2020,2,126,240101,5,1,13,4,5,1
2020,2,126,240101,5,2,6,4,2,1
2020,2,126,240101,5,2,,,,
2020,2,156,240101,1,1,61,4,9,
2020,2,156,240101,2,2,61,4,9,
2019,6,6,240101,1,2,49,,9,
2019,6,6,240101,3,2,26,,11,
2019,6,6,240101,3,1,21,,10,1
2019,6,6,240101,4,2,15,,5,1
2019,6,6,240101,5,2,1,,,
2019,6,35,240101,1,1,40,,11,
2019,6,35,240101,2,2,39,,9,
2019,6,35,240101,3,2,8,,3,2
2019,6,35,240101,3,2,4,,2,2
2019,6,62,240101,1,2,82,,3,
2019,6,62,240101,3,1,53,,3,
2019,6,62,240101,5,1,24,,9,
2019,6,62,240101,11,2,25,,8,
2019,6,92,240101,1,1,38,,9,
2019,6,92,240101,6,2,70,,5,
2019,6,92,240101,7,2,44,,9,
2019,6,120,240101,1,2,45,,9,
2019,6,120,240101,3,2,23,,10,2
2019,6,120,240101,5,1,6,,2,1
2019,6,149,240101,1,1,40,,5,
2019,6,149,240101,2,2,39,,9,
2019,6,149,240101,3,1,20,,8,1
2019,6,149,240101,3,1,12,,3,1
2019,6,149,240101,3,2,4,,2,1
2020,1,5,240101,1,1,67,4,5,
2020,1,5,240101,3,,,,,
2020,1,5,240101,3,2,37,4,6,
2020,1,5,240101,4,1,45,4,3,
2020,1,5,240101,5,2,15,4,5,
2020,1,5,240101,5,1,6,4,2,1
2020,1,20,240101,1,1,71,4,4,
2020,1,20,240101,2,2,75,4,4,
2020,1,20,240101,3,1,43,4,6,
2020,1,38,240101,1,1,56,4,6,
2020,1,38,240101,2,2,50,4,6,
2020,1,38,240101,3,1,23,4,10,1
2020,1,38,240101,3,1,19,4,9,
2020,1,38,240101,3,1,10,4,3,1
2020,1,105,240101,1,1,70,4,3,
2020,1,105,240101,3,2,39,4,4,
2020,1,105,240101,5,,,,,
2020,1,105,240101,8,,,,,
2020,1,105,240101,5,2,15,4,5,
2020,1,105,240101,8,1,,,,
2020,1,105,240101,5,2,7,4,3,1
2020,1,118,240101,1,2,45,4,6,
2020,1,118,240101,3,1,18,4,10,2
2019,10,10,240101,1,2,65,4,4,
2019,10,10,240101,3,2,35,4,9,
2019,10,64,240101,1,1,67,4,6,
2019,10,64,240101,2,2,68,4,6,
2019,10,64,240101,3,1,30,4,10,
2019,10,64,240101,5,2,5,4,2,2
2019,10,64,240101,5,1,3,4,1,1
2019,10,64,240101,5,1,1,,,
2019,10,80,240101,1,1,61,4,6,
2019,10,80,240101,7,1,60,4,9,
2019,10,100,240101,1,2,67,4,4,
2019,10,100,240101,3,2,32,4,9,
2019,10,100,240101,5,1,5,4,2,1
2019,10,100,240101,5,1,1,,,
2019,10,100,240101,1,2,35,4,9,
2019,10,100,240101,3,1,13,4,4,1
2019,10,100,240101,3,1,11,4,3,1
2019,10,115,240101,1,1,67,4,6,
2019,10,115,240101,2,2,64,4,5,
2019,10,177,240101,1,2,68,4,6,
2019,10,177,240101,3,2,34,4,8,
2019,10,177,240101,4,1,31,4,6,
2019,10,177,240101,5,2,8,4,3,1
2019,10,177,240101,5,1,4,4,1,1
2019,7,7,240101,1,1,66,,4,
2019,7,7,240101,2,2,64,,3,
2019,7,7,240101,3,1,33,,11,
2019,7,35,240101,1,1,38,,6,
2019,7,35,240101,2,2,29,,6,
2019,7,35,240101,3,1,10,,3,1
